date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:02	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1751214902-ssl-df	https://masterclassy.netlify.app/robots.txt		(from )
16:33:03	5080/5080	---MCZ	200	added ('OK')	text/html	etag:%2280987d895af2898298e43868f4aec226-ssl-df%22	https://masterclassy.netlify.app/	C:/My%20Web%20Sites/kingstrades/masterclassy.netlify.app/index.html	(from )
16:33:05	320/320	---M--	200	added ('OK')	application/json	etag:%22290e1d00b43b8146fb71af8ad3bc2dae-ssl%22	https://masterclassy.netlify.app/manifest.json	C:/My%20Web%20Sites/kingstrades/masterclassy.netlify.app/manifest.json	(from https://masterclassy.netlify.app/)
16:33:08	23590/23590	---M--	200	added ('OK')	image/jpeg	etag:%223bddf4b40c338affa6cafc6a6e1f0d06-ssl%22	https://masterclassy.netlify.app/E0BCB7A8-2F8A-4CE2-BADC-BE2A67E38C01.jpeg	C:/My%20Web%20Sites/kingstrades/masterclassy.netlify.app/E0BCB7A8-2F8A-4CE2-BADC-BE2A67E38C01.jpg	(from https://masterclassy.netlify.app/)
16:33:08	77/77	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Sep%202025%2013:33:06%20GMT	https://tickshark.com/preview-image.jpg	C:/My%20Web%20Sites/kingstrades/tickshark.com/preview-image.2.delayed	(from https://masterclassy.netlify.app/)
16:33:11	209508/209508	---MCZ	200	added ('OK')	application/javascript	etag:%2208f6e148a5ca64cb90be268aedede497-ssl-df%22	https://masterclassy.netlify.app/static/js/lib-react.7e3f0832.js	C:/My%20Web%20Sites/kingstrades/masterclassy.netlify.app/static/js/lib-react.7e3f0832.js	(from https://masterclassy.netlify.app/)
16:33:12	65013/65013	---MCZ	200	added ('OK')	application/javascript	etag:%22bdbd5b3878f6fc2b58e1deaff79c1475-ssl-df%22	https://masterclassy.netlify.app/static/js/lib-router.13959373.js	C:/My%20Web%20Sites/kingstrades/masterclassy.netlify.app/static/js/lib-router.13959373.js	(from https://masterclassy.netlify.app/)
16:33:16	2271360/2271360	---MCZ	200	added ('OK')	application/javascript	etag:%22ea368d84961aa9fabc258f19443ca516-ssl-df%22	https://masterclassy.netlify.app/static/js/352.47a688f7.js	C:/My%20Web%20Sites/kingstrades/masterclassy.netlify.app/static/js/352.47a688f7.js	(from https://masterclassy.netlify.app/)
16:33:17	470299/470299	---MCZ	200	added ('OK')	application/javascript	etag:%22003407f7d56e763e83b150f4fb8fd0a3-ssl-df%22	https://masterclassy.netlify.app/static/js/index.fa4e1b37.js	C:/My%20Web%20Sites/kingstrades/masterclassy.netlify.app/static/js/index.fa4e1b37.js	(from https://masterclassy.netlify.app/)
16:33:19	27462/27462	---MCZ	200	added ('OK')	text/css	etag:%22b916edfec622a41df7972b66652f7c6b-ssl-df%22	https://masterclassy.netlify.app/static/css/352.4e07e9ba.css	C:/My%20Web%20Sites/kingstrades/masterclassy.netlify.app/static/css/352.4e07e9ba.css	(from https://masterclassy.netlify.app/)
16:33:20	83666/83666	---MCZ	200	added ('OK')	text/css	etag:%2216c2d18453e56baa0f4bcf40fe53303a-ssl-df%22	https://masterclassy.netlify.app/static/css/index.47bc9a83.css	C:/My%20Web%20Sites/kingstrades/masterclassy.netlify.app/static/css/index.47bc9a83.css	(from https://masterclassy.netlify.app/)
16:33:21	103683/103683	---MC-	200	added ('OK')	application/javascript	date:Mon,%2015%20Sep%202025%2011:29:43%20GMT	https://cdn.livechatinc.com/tracking.js	C:/My%20Web%20Sites/kingstrades/cdn.livechatinc.com/tracking.js	(from https://masterclassy.netlify.app/)
